,Business Idea,Bullet Point 1,Bullet Point 2,Bullet Point 3,Bullet Point 4,Bullet Point 5,Industry,AI Usage,Social Idea
0,AI-curated meal kits,AI-curated meal kit platform,Personalization for diets and wellness,Flexible subscriptions and on-demand options,"Local producers, smart logistics, waste reduction",City pilots with partners,ISIC 47.91,Yes,No
1,AI-powered meal kits,AI analyzes dietary data to customize weekly menus.,Local farms and producers supply ingredients to cut waste.,"AI optimizes recipes for cost, nutrition, and shelf-life.",Flexible subscriptions with meal choices and add-ons.,Eco-friendly packaging and transparent footprint tracking.,ISIC 10 (Manufacture of food products),Yes,Yes
2,AI-driven wellness coach,"AI-powered personalization of fitness, nutrition, sleep, and stress management in one app.",Integrates wearable data and self-reports to continuously tailor plans while prioritizing privacy and data security.,"Freemium consumer model with premium features; B2B options for employers, clinics, and insurers; marketplace partnerships.","Focus on accessibility and mental health support; multilingual, low-cost tier to reach underserved populations.","Plans to partner with gyms, healthcare providers, and wellness brands to validate outcomes with evidence-based guidelines.",Health tech (ISIC 8690),Yes,Yes
3,AI Health Coach App,AI‑driven personalized wellness plans and coaching,Real‑time tracking via wearables and mobile data,"Freemium model with premium coaching, nutrition, and programs",B2B partnerships with employers and insurers for corporate wellness,Data insights to improve outcomes and reduce healthcare costs,"Health and social work activities (ISIC Rev. 4, Section Q)",Yes,Yes
4,Adaptive Learning Platform,AI-driven diagnostics tailor learning paths and recommendations.,Modular courses cover K-12 to professional upskilling.,"Revenue from subscriptions, school licenses, and micro-credentials.",Content marketplace with educator partnerships and automated QA.,"Focus on data privacy, accessibility, and scalable onboarding.",ISIC 85 - Education,Yes,Yes
5,AI-Driven Micro-Course Platform,Personalizes bite-sized courses with AI-powered recommendations and flexible pacing.,Revenue from individual subscriptions plus B2B licenses for employers and schools.,"Mobile-first, affordable access with multilingual support to reach diverse learners.",Earns micro-credentials with verifiable digital badges and data-driven outcomes.,"Scales via partner content, instructors, and mentor networks to broaden topics.",Education (ISIC Rev. 4: Division 85),Yes,Yes
6,Clothing rental marketplace,Online clothing rental platform,Tiered pricing with subscriptions and one-off rentals,"AI-powered sizing, recommendations, and demand forecasting","Revenue from rentals, cleaning, and brand partnerships",Sustainable fashion mission and waste reduction,ISIC 47,Yes,Yes
7,Sustainable Streetwear Rental,"Target market: Urban millennials and Gen Z seeking affordable, sustainable fashion access.","Value proposition: Seasonal streetwear on loan with a circular model, easy returns, and low-waste packaging.",Revenue model: Tiered rental subscriptions plus per-item rental fees; optional co-branded capsules.,"Operations/Tech: RFID inventory, AI-powered style and fit recommendations, mobile app for browsing, rental, and returns.","Growth strategy: Pilot in a major city, influencer partnerships, campus collaborations, and brand partnerships for exclusive drops.",77.29 (Rental and leasing of other personal and household goods),Yes,Yes
8,Smart modular furniture,"Modular, space-saving furniture system for small homes.","Built-in wireless charging, ambient lighting, and occupancy sensors.",Online 3D configurator for customizing layouts and quick assembly.,"Sustainable materials, recyclable components, and a take-back program.",AI-powered space-planning tool and predictive maintenance for products.,ISIC 3100 - Manufacture of furniture,Yes,Yes
9,Smart modular furniture rental,"Addresses demand for flexible, affordable, eco-friendly furniture in urban housing (students, renters, nomads)",Modular pieces reconfigure for small spaces; easy assembly and swaps to adapt lifestyles,Revenue from monthly subscription plans plus delivery/assembly add-ons and resale of used items,"Go-to-market via landlords, universities, and coworking spaces; online configurator with white-glove delivery","Differentiation through durable modular design, circular supply chain, and AI-driven inventory optimization",ISIC 77.29 (Rental and leasing of other personal and household goods),Yes,Yes
10,Smart Farm Platform,Real-time farm data from IoT sensors.,Subscription-based analytics and advisory services.,User-friendly mobile app with dashboards.,Strategic partnerships with ag suppliers and extension services.,Scales across crops and geographies.,ISIC 62.09 - Other information technology and computer service activities,Yes,Yes
11,Smart Farm Platform,IoT sensors + AI-driven irrigation and fertigation,"Real-time crop health, disease alerts, and yield forecasts","Affordable, tiered subscription for smallholders","Partnerships with co-ops, ag extensions, and distributors","Improves yields, saves water, cuts input waste","01 Crop and animal production, hunting and related service activities",Yes,Yes
12,Personalized local experiences,Curated adaptive itineraries,AI-driven recommendations and pricing,Local guides and experiences marketplace,"Secure payments, insurance, reviews","Sustainable, low-impact tourism",ISIC 7911/7912 – Travel agencies and tour operators,Yes,Yes
13,Local Experience Marketplace,"Connects travelers with vetted locals for authentic, immersive experiences.","Handles bookings, payments, and reviews while ensuring safety and quality.","Emphasizes sustainable, culturally respectful itineraries and community benefit.","Uses AI to match interests, optimize pricing, and detect fraud.","Scales via partnerships with tourism boards, influencers, and local guides.",ISIC 79 (Travel agency and tour operator activities; Other reservation service activities),Yes,Yes
14,Online Craft Kit Marketplace,Connects global crafters with customers,Sells kit-based crafts with guided instructions,Subscriptions and bundles for recurring revenue,"Includes tutorials, reviews, and maker profiles",Scales via dropshipping and AI-driven recommendations,ISIC 4779,Yes,Yes
15,Online handmade marketplace,Connects artisans with global buyers to sell handmade goods online.,Curated storefronts with artisan bios and transparent pricing for trust and value.,"Revenue from commissions, listing fees, and optional promoted placements; explore maker subscriptions.","Core ops: platform development, artisan onboarding, payment processing, quality checks, logistics partnerships, and customer support.","Competitive edge: strong community, sustainability focus, AI-driven discovery, multilingual support, and scalable marketplace operations.","ISIC Rev.4: 47.91 - Retail sale via mail order houses, including online",Yes,Yes
16,Pop-up Event Platform,Connects idle-venue spaces with micro-event organizers for flexible bookings.,"Supports arts, food, and music pop-ups with on-demand scheduling and payments.","Revenue from booking fees, ticketing, and sponsor partnerships.","Includes safety, permits, insurance guidance, and basic logistics checkout.","AI-powered venue matching, dynamic pricing, and targeted marketing.","ISIC Rev. 4, Section R – Arts, Entertainment and Recreation (Code: R)",Yes,Yes
17,Pop-up experiential events platform,"Connects brands, artists, and venues for short-term immersive events.",Uses underutilized spaces to host rotating pop-ups with low capex.,"Revenue from ticketing, venue commissions, and sponsorships.","AI-driven curation, dynamic pricing, targeting, and fraud prevention.",Scalable rollout with local artist communities and inclusive access.,"ISIC 90 (Creative, arts and entertainment activities)",Yes,Yes
18,Sports facility booking app,"Users can book courts, fields, and fitness facilities online",Connects players with nearby coaches and classes,"Revenue through booking fees, subscriptions, and venue partnerships","Built-in social features: profiles, clubs, events, and ratings","AI-powered dynamic pricing, demand forecasting, and waitlisting",ISIC 93 - Sports activities and amusement and recreation activities,Yes,Yes
