Country,Name,Gender
US,James Smith,m
US,Mary Smith,f
DE,Hans Müller,m
DE,Maria Müller,f
FR,Gabriel Martin,m
FR,Louise Martin,f
IT,Leonardo Rossi,m
IT,Sofia Rossi,f
ES,Antonio García,m
ES,María Carmen García,f
UK,Oliver Brown,m
UK,Emily Brown,f
CN,Wei Zhang,m
CN,Li Wang,f
JP,Takashi Tanaka,m
JP,Yuki Sato,f
IN,Aarav Kumar,m
IN,Saanvi Kumar,f
BR,Carlos Silva,m
BR,Maria Silva,f
RU,Ivan Ivanov,m
RU,Anna Ivanova,f
KR,Min-jun Kim,m
KR,Seo-yeon Kim,f
VN,Nguyen Van An,m
VN,Nguyen Thi Hoa,f
CA,Liam Johnson,m
CA,Olivia Johnson,f
AU,Jack Wilson,m
AU,Charlotte Wilson,f
EG,Ahmed Hassan,m
EG,Fatima Hassan,f
ZA,Thabo Nkosi,m
ZA,Naledi Nkosi,f
NG,Chinedu Okafor,m
NG,Adaeze Okafor,f
MX,José Hernández,m
MX,Guadalupe Hernández,f
SA,Abdullah Al-Saud,m
SA,Aisha Al-Saud,f
AR,Juan Pérez,m
AR,María González,f
TR,Mehmet Yılmaz,m
TR,Elif Yılmaz,f
ID,Agus Santoso,m
ID,Siti Nurhaliza,f
PK,Muhammad Khan,m
PK,Ayesha Khan,f
PL,Jan Kowalski,m
PL,Anna Kowalska,f
TH,Somchai Chaiyaporn,m
TH,Suda Chaiyaporn,f
SE,Erik Johansson,m
SE,Anna Andersson,f
KE,John Mwangi,m
KE,Grace Wanjiku,f
CO,Juan Rodríguez,m
CO,Catalina Rodríguez,f
